"lat","lon","year","hooks","fleet","res","reslat","reslon","pixels","hooks2"
5,-55,2019,2600,"028PA05","5*5",1,1,1,2600
5,-55,2019,23800,"028PA05","5*5",1,1,1,23800
5,-55,2019,36900,"028PA05","5*5",1,1,1,36900
5,-60,2019,2400,"028PA05","5*5",1,1,1,2400
5,-45,2019,13800,"028PA05","5*5",1,1,1,13800
5,-45,2019,2900,"028PA05","5*5",1,1,1,2900
5,-45,2019,22200,"028PA05","5*5",1,1,1,22200
5,-45,2019,10400,"028PA05","5*5",1,1,1,10400
5,-50,2019,43500,"028PA05","5*5",1,1,1,43500
5,-50,2019,26100,"028PA05","5*5",1,1,1,26100
5,-50,2019,25200,"028PA05","5*5",1,1,1,25200
5,-50,2019,23000,"028PA05","5*5",1,1,1,23000
5,-50,2019,37400,"028PA05","5*5",1,1,1,37400
5,-55,2019,36600,"028PA05","5*5",1,1,1,36600
5,-55,2019,29500,"028PA05","5*5",1,1,1,29500
5,-55,2019,21300,"028PA05","5*5",1,1,1,21300
5,-55,2019,21200,"028PA05","5*5",1,1,1,21200
5,-55,2019,48800,"028PA05","5*5",1,1,1,48800
5,-60,2019,2800,"028PA05","5*5",1,1,1,2800
10,-45,2019,5700,"028PA05","5*5",1,1,1,5700
10,-45,2019,8600,"028PA05","5*5",1,1,1,8600
10,-45,2019,2600,"028PA05","5*5",1,1,1,2600
10,-50,2019,8000,"028PA05","5*5",1,1,1,8000
10,-50,2019,88800,"028PA05","5*5",1,1,1,88800
10,-50,2019,35600,"028PA05","5*5",1,1,1,35600
10,-50,2019,11300,"028PA05","5*5",1,1,1,11300
10,-55,2019,8200,"028PA05","5*5",1,1,1,8200
10,-55,2019,10800,"028PA05","5*5",1,1,1,10800
10,-55,2019,13200,"028PA05","5*5",1,1,1,13200
10,-55,2019,40800,"028PA05","5*5",1,1,1,40800
10,-55,2019,43200,"028PA05","5*5",1,1,1,43200
10,-60,2019,10800,"028PA05","5*5",1,1,1,10800
10,-50,2019,2400,"028PA05","5*5",1,1,1,2400
10,-50,2019,2400,"028PA05","5*5",1,1,1,2400
10,-55,2019,5200,"028PA05","5*5",1,1,1,5200
10,-55,2019,2800,"028PA05","5*5",1,1,1,2800
10,-55,2019,2800,"028PA05","5*5",1,1,1,2800
10,-55,2019,22400,"028PA05","5*5",1,1,1,22400
10,-55,2019,14000,"028PA05","5*5",1,1,1,14000
0,-45,2019,15600,"028PA05","5*5",1,1,1,15600
0,-45,2019,7600,"028PA05","5*5",1,1,1,7600
0,-45,2019,12500,"028PA05","5*5",1,1,1,12500
0,-45,2019,15000,"028PA05","5*5",1,1,1,15000
0,-50,2019,13600,"028PA05","5*5",1,1,1,13600
5,-45,2019,2600,"028PA05","5*5",1,1,1,2600
5,-45,2019,7700,"028PA05","5*5",1,1,1,7700
5,-45,2019,15600,"028PA05","5*5",1,1,1,15600
5,-45,2019,23100,"028PA05","5*5",1,1,1,23100
5,-45,2019,17900,"028PA05","5*5",1,1,1,17900
5,-50,2019,37300,"028PA05","5*5",1,1,1,37300
5,-50,2019,13000,"028PA05","5*5",1,1,1,13000
5,-45,2019,5200,"028PA05","5*5",1,1,1,5200
5,-45,2019,7600,"028PA05","5*5",1,1,1,7600
5,-45,2019,13100,"028PA05","5*5",1,1,1,13100
5,-45,2019,20700,"028PA05","5*5",1,1,1,20700
5,-45,2019,16000,"028PA05","5*5",1,1,1,16000
5,-50,2019,15800,"028PA05","5*5",1,1,1,15800
5,-50,2019,7900,"028PA05","5*5",1,1,1,7900
5,-50,2019,69600,"028PA05","5*5",1,1,1,69600
5,-50,2019,19300,"028PA05","5*5",1,1,1,19300
5,-55,2019,7500,"028PA05","5*5",1,1,1,7500
5,-55,2019,4800,"028PA05","5*5",1,1,1,4800
5,-60,2019,5600,"028PA05","5*5",1,1,1,5600
5,-45,2019,38000,"028PA05","5*5",1,1,1,38000
5,-45,2019,5000,"028PA05","5*5",1,1,1,5000
5,-45,2019,65300,"028PA05","5*5",1,1,1,65300
5,-45,2019,10700,"028PA05","5*5",1,1,1,10700
5,-50,2019,15300,"028PA05","5*5",1,1,1,15300
5,-50,2019,48500,"028PA05","5*5",1,1,1,48500
5,-50,2019,36700,"028PA05","5*5",1,1,1,36700
5,-50,2019,61500,"028PA05","5*5",1,1,1,61500
5,-50,2019,10000,"028PA05","5*5",1,1,1,10000
5,-55,2019,12700,"028PA05","5*5",1,1,1,12700
5,-55,2019,14100,"028PA05","5*5",1,1,1,14100
5,-60,2019,2800,"028PA05","5*5",1,1,1,2800
5,-45,2019,13000,"028PA05","5*5",1,1,1,13000
5,-45,2019,5200,"028PA05","5*5",1,1,1,5200
5,-45,2019,7200,"028PA05","5*5",1,1,1,7200
5,-50,2019,15700,"028PA05","5*5",1,1,1,15700
5,-50,2019,13200,"028PA05","5*5",1,1,1,13200
5,-50,2019,50800,"028PA05","5*5",1,1,1,50800
5,-50,2019,24900,"028PA05","5*5",1,1,1,24900
